County,Attribute,White_Non_Hispanic_Count,White_Non_Hispanic_Percentage,Black_Non_Hispanic_Count,Black_Non_Hispanic_Percentage,Multirace_Other_Non_Hispanic_Count,Multirace_Other_Non_Hispanic_Percentage,Hispanic_Count,Hispanic_Percentage
Bertie,Resident Births,158,100,53,100,102,100,3,100
Bertie,Under 18 Years,3,1.9,1,1.9,2,2.0,0,0
Bertie,18-34 Years,139,88.0,48,90.6,89,87.3,2,66.7
Bertie,35+ Years,16,10.1,4,7.5,11,10.8,1,33.3
Bertie,Less than High School,15,9.5,4,7.5,10,9.8,1,33.3
Bertie,High School Graduate or GED,65,41.1,13,24.5,52,51.0,0,0
Bertie,Some College,56,35.4,24,45.3,31,30.4,1,33.3
Bertie,College Degree,22,13.9,12,22.6,9,8.8,1,33.3
Bertie,Vaginal,108,68.4,34,64.2,71,69.6,3,100.0
Bertie,C-Section,50,31.6,19,35.8,31,30.4,0,0
Bertie,Inadequate Prenatal Care Index,15,9.5,0,0,14,13.7,1,33.3
Bertie,Intermediate Prenatal Care Index,4,2.5,0,0,4,3.9,0,0
Bertie,Adequate Prenatal Care Index,49,31.0,19,35.8,29,28.4,1,33.3
Bertie,Adequate Plus Prenatal Care Index,88,55.7,33,62.3,54,52.9,1,33.3
Bertie,Underweight (<18.5),8,5.1,1,1.9,7,6.9,0,0
Bertie,Normal (18.5-24.9),38,24.1,12,22.6,25,24.5,1,33.3
Bertie,Overweight (25.0-29.9),31,19.6,10,18.9,20,19.6,1,33.3
Bertie,Obese (30.0+),80,50.6,30,56.6,49,48.0,1,33.3
